snapshot_date,snapshot_index,name,owner,stance,short_label,proximity,category,headline,release,strategy,positioning,ai,scale,website,sources
2026-09-10,0,onPhase,formerly DocuPhase · Tampa,cons,Acquisitive + rebrand,Low,AP + payments + document management,Rebranded from DocuPhase; growing through acquisitions and embedded payments rather than product depth.,"Acquisition of iPayables (Jan 2026) + Clearwater Payments; Bottomline Paymode network embedded; Sum Theory partnership (Jan 2026) and TransferMate partnership (Jun 30, 2026) for embedded cross-border payments.","AI-driven AP + embedded payments; 173% 3-year growth (Inc. 5000), assembled from acquisitions and payment partnerships.",Unified finance automation for SMB → enterprise.,AI-driven capture/automation combined with payments.,~121 employees · Tampa · NetSuite-centric + others,https://www.onphase.com/,onPhase (https://www.onphase.com/); onPhase news (https://www.onphase.com/news); Accounting automation (https://www.docuphase.com/accounting-automation)
2026-09-10,0,MineralTree,"Global Payments · Cambridge, MA",cons,Payments-owned,Low,AP + payment automation · multi-ERP,"Owned by payments giant Global Payments; strength in multi-currency/international payments, not AI.","Multi-currency payments went GA in Apr 2026 (TransferMate, 130+ currencies); enterprise multi-ERP focus.",Part of Global Payments ($500M acquisition) → payment monetisation over product expansion.,"End-to-end invoice-to-pay, fraud protection, multi-ERP.",Less AI profiling; focus on payments and visibility.,"101–200 employees · Cambridge, MA · 3,000+ companies",https://www.mineraltree.com/,MineralTree (https://www.mineraltree.com/); Global Payments acq. (https://investors.globalpayments.com/news-events/press-releases/detail/23/global-payments-agrees-to-acquire-mineraltree-a-leader-in); Crunchbase (https://www.crunchbase.com/organization/mineraltree)
2026-09-10,0,Dime Scheduler,Dime Software (formerly Dimenics) · BE,steady,Adjacent (scheduling),High,Visual resource/project planning · BC,"BC-native, but in a different category (scheduling) — ISV neighbour, not a direct AP rival.","Real-time BC sync, Gantt, drag-drop, capacity pivot, map/route planning; Outlook/Exchange sync. A further release is landing in Oct 2026.","Founded 2010 as Dimenics, consultancy-turned-product: since mid-2020 it develops and sells only its own software, rebranded to Dime Software, and sells through 100+ partners.","“Stop guessing, start planning” — easy to implement (~5 days).",Limited AI profile; strength is visual planning.,Small Belgian product team · 100+ partners · subscription from ~€50/year,https://www.dimescheduler.com/,Dime.Scheduler (https://www.dimescheduler.com/); About Dime Software (https://www.dime-software.com/posts/dime-becomes-dime-software); Features (https://www.dimescheduler.com/features); Microsoft Marketplace (https://marketplace.microsoft.com/en-us/product/web-apps/dimenics-3435744.dimescheduler)
2026-09-10,0,Microsoft Expense Agent,Microsoft · native in BC,ai,Platform owner · AI,High,AI expense capture · native in Business Central,The platform owner itself moving into the expense space with an AI agent — the most important BC-native development to watch.,"Expense Agent introduced in D365 BC (Apr 2026); BC 2026 Wave 1 adds (Jun 19, 2026) an AI approval step that validates expense reports against company policies written in plain language and guides approvers — public preview Jul 2026. Preview expands beyond the US to the UK, Australia and New Zealand from Jul 2026. Sept 2026: Microsoft stops publishing Release Plans — further agent capabilities are disclosed on the “AI at Work roadmap” instead, with BC 29 (2026 wave 2) landing from October.","Microsoft building AI functionality directly into BC, overlapping with third-party expense solutions.","Native to the platform — no extra vendor, comes with Business Central.","AI expense agent embedded in the ERP — now also checks reports against natural-language policies at line, report and cross-line level, while leaving the final call to the approver.",Built into Microsoft Dynamics 365 Business Central,https://www.microsoft.com/en-us/dynamics-365/products/business-central,Microsoft blog (https://www.microsoft.com/en-us/dynamics-365/blog/it-professional/2026/04/27/expense-agent-dynamics-365-business-central/); Approval process (BC 2026 W1) (https://www.azurecurve.co.uk/2026/06/new-functionality-in-microsoft-dynamics-365-business-central-2026-wave-1-expense-agent-supports-approval-process/); Markets (MS Learn) (https://learn.microsoft.com/en-us/dynamics365/release-plan/2026wave1/smb/dynamics365-business-central/manage-expenses-business-central-using-expense-agent); Release Plans retired (MS Learn) (https://learn.microsoft.com/en-us/dynamics365/release-plan/2026wave1/smb/dynamics365-business-central/); AI at Work roadmap (https://aka.ms/AIatWorkRoadmap)
2026-09-10,0,Lasernet,Lasernet Group · DK/UK (Mission Trail),cons,Taken private · BC output,High,Document output & e-invoicing · BC + F&O,"BC-native output engine (rival to Continia Document Output) — now taken private, delisted, and running as a single-product company.","Take-private complete — Tabellae BidCo (Mission Trail Partners) declared its recommended SEK 30/share cash offer unconditional on Jul 23, 2026 at ~92% acceptance (~SEK 620M for the remaining 70.69%) and moved to compulsory redemption; Lasernet Group delisted from Nasdaq Stockholm with last trading day Aug 24, 2026. Lasernet for BC stays live on AppSource (20+ report types, Azure AI mapping); Temenos Exchange Partner of the Year 2026; joined the IFS partner network.","Formpipe Software AB renamed itself Lasernet Group AB (briefly ticker LASER from Jun 9, 2026) and sold Formpipe Public to Sikri AS (STG) in Dec 2025, leaving a pure Lasernet platform business — now owned outright by the PE-led Tabellae/Mission Trail consortium.","Embedded in BC — design, send and archive documents without leaving the ERP.",Azure AI for data mapping; primarily strong on output/compliance rather than AI marketing.,SEK 242M net sales 2025 (+9%) · offices across Europe + US · 20+ years,https://www.lasernetgroup.com/,Lasernet Group (https://www.lasernetgroup.com/news-blogs/bc-connector-now-on-appsource); Offer completed (~92%) (https://mfn.se/all/a/tabellaebidco/tabellae-bidco-completes-the-recommended-offer-to-the-shareholders-of-lasernet-at-92-0-percent-and-extends-the-acceptance-period); Formpipe/Lasernet split (https://www.formpipe.com/news-formpipe-lasernet-split); Delisting / IR (https://ir.lasernetgroup.com/)
2026-09-10,0,AMC Banking,"AMC-Consult · Frederiksberg, DK",steady,BC-native · banking,High,Bank integration & payments · BC + F&O,BC-native bank/payments solution from a 30-person Danish house — directly competes with Continia Banking & Payment Management.,"Standardises 600+ bank formats via the cloud platform XTendLink, which gained a cross-company/cross-bank BI view; Fundamentals ships as a BC extension. Hotfix 28.0.0.0 is the recommended baseline from Sept 2026.","PSD2-licensed payment institution; payment export, bank statements and reconciliation directly in BC — founded 1993, still independent and Danish-owned.",Embedded in BC — from payment journal direct to the bank (host-to-host).,"Data-driven auto-matching; less AI profiling, more operations and compliance.",~30 employees · founded 1993 · 600+ banks · Frederiksberg HQ,https://www.amcbanking.com/,AMC Banking (https://www.amcbanking.com/); AMC Banking BC (https://www.amcbanking.com/bc-fundamentals/); Microsoft Learn (https://learn.microsoft.com/en-us/dynamics365/business-central/ui-extensions-amc-banking)
2026-09-10,0,Acubiz,"Visma Acubiz · Birkerød, DK",cons,Visma-owned · consolidating,Medium,Expense management · certified BC integration,No longer independent: Visma-owned since Dec 2021 and now the Nordic consolidation vehicle for Visma’s expense products — the Danish head-to-head with Continia Expense Management.,"Jun 10, 2026: Visma Acubiz took over Swedish Dicom Expense (previously under Visma’s Belgian company Mobile Expense), adding ~1,500 Swedish customers and merging Danish strength with Swedish market knowledge. Certified integration with BC (+ e-conomic, Danløn, 40+ systems); app + web portal for expenses, cards and mileage.",Internal Visma restructuring: consolidate Nordic expense management under the Acubiz brand rather than competing brand-by-brand — Visma capital and cross-selling behind a Danish product.,Real-time overview of employee spend; automatic import to BC. Standalone expense platform that connects to BC — not “built inside” like Continia.,Automation of receipt/expense flow; limited AI profile.,52 employees · Birkerød HQ · ~20% DK market share · 40+ integrations,https://acubiz.com/,Visma Acubiz (https://acubiz.com/); Dicom Expense takeover (Jun 2026) (https://acubiz.com/blog/visma-acubiz-takes-over-swedish-dicom-expense-to-strengthen-its-position-in-the-nordic-market/); We are now Visma Acubiz (https://acubiz.com/blog/we-are-now-visma-acubiz); Visma acquisition (https://www.visma.com/news/visma-acquires-danish-expense-management-solution-to-boost-growth-in-the-enterprise-market)
2026-09-10,0,Pagero,Thomson Reuters · Gothenburg,cons,TR-owned · e-invoicing,High,E-invoicing network & compliance · BC connector,"Global e-invoicing network, now owned by Thomson Reuters and being folded into the TR brand — one of BC’s built-in E-Document connectors.","ONESOURCE Pagero (e-invoicing + tax); embedded e-invoicing for Oracle Fusion (2026); Deloitte global alliance (Jan 2026); pre-approved ASP for the UAE mandate (from Jul 2026); passed the EU ViDA Peppol 5-corner pilot. Jul 29, 2026: France’s DGFiP approved Pagero’s Partner Dematerialization Platform (PDP), certifying it ahead of the Sept 1, 2026 mandate. The Pagero brand is now transitioning to Thomson Reuters.","Thomson Reuters took a majority stake in Feb 2024 (~USD 800M / SEK 8.1bn) and merged the network with ONESOURCE tax; “two-step” format conversion globally, now sold as tax + compliance rather than a standalone network.","Open, ERP-agnostic network; BC extension sends e-/PDF/print invoice via one connection.",Focus on compliance/CTC mandates rather than AI marketing.,Thomson Reuters subsidiary (~USD 800M deal) · 14M+ businesses · 100+ networks · IDC leader,https://www.pagero.com/,Pagero for BC (https://europe.thomsonreuters.com/pagero-network/system-connectivity/microsoft); France PDP approved (Jul 2026) (https://www.pagero.com/newsroom/pageros-pdp-application-approved-by-french-authorities); Brand transition to TR (https://europe.thomsonreuters.com/blog/brand-transition); UAE ASP (https://europe.thomsonreuters.com/newsroom/pagero-part-of-thomson-reuters-listed-as-pre-approved-e-invoicing-service-provider-in-the-uae); Deloitte-alliance (https://www.thomsonreuters.com/en/press-releases/2026/january/deloitte-and-thomson-reuters-launch-a-strategic-alliance-to-support-end-to-end-global-e-invoicing-and-e-reporting-for-organizations)
2026-09-10,0,B2Brouter,B2Brouter Global · Barcelona/Sabadell,steady,Peppol · BC connector,High,Peppol / e-invoicing access point · BC connector,"Certified Peppol access point with native BC connector — one of BC’s built-in E-Document APIs, growing 65% a year off 250,000+ users.","BC connector on AppSource; supports Peppol BIS 3.0, UBL, XRechnung, FatturaPA, Chorus Pro, FACe and SDI; launched a developer sandbox (Jun 2026) for API/invoice testing ahead of France’s Sep 2026 receive deadline.","One connection to the entire Peppol network with automatic format conversion; ~65% growth, a new Sabadell office and headcount past 50 as EU mandates land. Founded and led by Peppol veteran Oriol Bausà.",Native in Dynamics — send and receive e-invoices without external portals.,No significant AI profile; strength is compliance breadth across countries.,"50+ employees · +65% growth · 250,000+ users · 30+ countries · ISO 27001",https://www.b2brouter.net/,B2Brouter (https://www.b2brouter.net/); B2Brouter for Dynamics (https://www.b2brouter.net/global/e-invoicing-microsoft-dynamics/); Developer sandbox (Jun 2026) (https://www.b2brouter.net/global/b2brouter-sandbox/); Microsoft Learn (E-Docs) (https://learn.microsoft.com/en-us/dynamics365/business-central/faq-electronic-invoicing)
2026-09-10,0,Qvalia,Qvalia · Stockholm,steady,Peppol · BC app,High,Peppol e-invoicing & order management · BC app,Ready-made BC app for Peppol with AI posting suggestions — a 17-person Swedish team that keeps adding national certifications.,"Sends/receives Peppol invoices + order management; automatic posting in BC; AI suggestions for account mapping. May 11, 2026: ISO 22301 (business continuity) certified. May 27, 2026: certified for Slovakia’s eFaktúra platform ahead of that mandate.",Plug-and-play BC connector via the Qvalia platform; competing on certification breadth (40+ countries) and compliance credentials rather than headcount.,Everything posted automatically in BC — no double entry.,AI-generated posting suggestions for incoming vendor invoices.,17 employees · 40+ countries · EN 16931 · Peppol BIS · ISO 22301,https://qvalia.com/,Qvalia (https://qvalia.com/); Qvalia for BC (https://qvalia.com/peppol-e-invoicing-for-business-central/)
2026-09-10,0,Rillion,Rillion (formerly Palette) · Stockholm (Altor),ai,AI-native capture,Medium,AP automation · multi-ERP + BC connector,"Nordic AP-automation veteran going AI-native — LLM invoice capture with no OCR templates, and a hard cut-over off the old Palette stack.","Rillion Capture (Mar 25, 2026) — first AI-native, multimodal-LLM invoice capture (no templates); Riley AI Assistant (Sept 2025) for invoice/supplier Q&A; Jul 2026: strengthened UK partnership with Stratas; Aug 27, 2026: released its 2026 AI in Finance Report (the “Finance AI Illusion”) — 68% of US finance teams use AI but only 39% of CFOs trust it to run independently.","30+ years (ex-Palette/Centsoft), Altor PE-owned; shifting from template-OCR to AI-native capture and expanding in the US (24 of ~150 staff in North America). PaletteArena reaches end of life on Sep 30, 2026 with Rillion Prime as the migration target — a forced base migration that opens a competitive window.","Control, visibility and speed for mid-market/enterprise AP; native Business Central connector among 50+ ERPs.","Riley AI assistant + Rillion Capture (multimodal LLM) for extraction, coding and approval routing.","~150 employees (24 in NA) · 3,000+ customers · 50+ countries · Altor-owned",https://www.rillion.com/,Rillion AP (https://www.rillion.com/); Rillion Capture (Mar 2026) (https://www.rillion.com/blog/rillion-capture-announcement/); Rillion + Stratas (Jul 2026) (https://www.rillion.com/blog/rillion-and-stratas-strengthen-partnership-to-accelerate-ai-driven-ap-automation-in-the-uk/); 2026 AI in Finance Report (https://www.prnewswire.com/news-releases/new-report-from-rillion-reveals-the-finance-ai-illusion-across-us-finance-functions-302861937.html); BC integration (https://www.rillion.com/integration/microsoft-dynamics-365-business-central/)
2026-09-10,0,Fidesic,"Fidesic (Enliven Software) · East Lansing, MI",ai,Built for Dynamics · AI capture,High,AP automation · Dynamics GP + BC,"AP automation purpose-built for Microsoft Dynamics GP & Business Central, with AI invoice capture — small, private, and entirely Dynamics-dependent.","AI invoice capture (MagiCapture) for Business Central — no templates, near-touchless; multi-entity BC integration (2024–25).",Deepen the Dynamics ecosystem (GP heritage since 2008 + native BC AL app); raise AI-capture fidelity and multi-entity workflows. GP’s end-of-life timeline pushes its own base toward BC — which is where Continia already sits.,“Purpose-built for Dynamics” — native GP/BC AP with no coding or mapping.,"MagiCapture ML/AI invoice capture that learns per submission; high first-pass accuracy, no templates.","Privately held, headcount not published · East Lansing, MI · GP since 2008 · BC on AppSource",https://www.fidesic.com/,Fidesic (https://www.fidesic.com/); BC integration (https://www.fidesic.com/product/dynamics-business-central-integration); MagiCapture (https://www.fidesic.com/product/magicapture)
2026-09-10,0,Yavrio,Yavrio · London,steady,BC-native · open banking,High,Bank connectivity & payments · BC + ERPs,Open-banking bank connectivity built inside Business Central — overlaps AMC Banking and Continia Banking & Payment Management.,"Connected the five largest US banks + embedded payments (early 2026); $2.4M seed (Fuel Ventures, Jan 2025); 14,000+ banks across 20 countries.",Expand bank coverage (10K→14K+ banks) and ERP scope beyond BC; positioned as a no-code alternative to CSV/file-based bank imports.,"“Built inside Business Central” — collect, settle and reconcile payments and bank feeds without external portals.",Rules-based live bank feeds + automated reconciliation; minimal AI positioning.,"~40 employees · London · 14,000+ banks · seed-stage",https://www.yavr.io/,Yavrio (https://www.yavr.io/); 5 major US banks (https://www.openbankingexpo.com/news/open-banking-fintech-yavrio-connects-with-five-major-us-banks/); Yavrio on AppSource (https://appsource.microsoft.com/en-us/product/dynamics-365-business-central/pubid.yavrioltd1647526263468%7Caid.yavrio_open_banking%7Cpappid.3d686c04-e1b1-435e-bea4-862c2c203ca7)
2026-09-10,0,Pleo,Pleo · Copenhagen,ai,Agentic · BC-integrated,High,Spend & expense management · vs Continia EM,"The Nordic head-to-head on expense: Danish, card-led, ~950 staff, and now shipping a full stack of finance agents on top of a direct Business Central integration.","June 11, 2026: launched agentic capabilities — Policy Agent live (spend rules applied in real time, exceptions flagged, approvals routed), Pleo MCP next (captures transactions, finds receipts, drafts memos, codes and submits expenses), plus AP, Treasury and Accounting agents; beta from July 2026. Layoffs of ~50 staff followed the launch.",Move from card + expense app to “spend that runs itself” — agents that act inside guardrails rather than dashboards that report; headcount trimmed as the agents ship.,"Card, invoice and reimbursement in one consumer-grade app; BC gets VAT setup, dimensions, chart of accounts and vendors synced, and every expense exported in real time as a journal entry or purchase invoice.","Five named agents (Policy, MCP, AP, Treasury, Accounting) with encryption and human-set guardrails as the pitch — the most complete agent story in the expense field.","~950 employees · 40,000+ businesses · Copenhagen HQ",https://www.pleo.io/,Pleo (https://www.pleo.io/); Pleo agents (FinTech Global) (https://fintech.global/2026/06/11/pleo-launches-ai-agents-for-autonomous-spend-management/); AI at Pleo (https://blog.pleo.io/en/ai-at-pleo); BC integration (https://www.pleo.io/en/integrations/microsoft-dynamics-365-business-central); Layoffs (TNW) (https://thenextweb.com/news/pleo-layoffs-ai-agents-finance)
