==============================================================================================================
LINKEDIN COMPANY POSTS - COMPETITIVE SNAPSHOT
Captured: 2026-09-09 (Europe/Copenhagen) | Source: LinkedIn company 'Posts' tab, view = All
Up to 50 most recent posts per company (fewer where the page had fewer).

Columns:  #  |  AGE (relative, as LinkedIn showed it)  |  TYPE  |  REACTIONS  |  COMMENTS  |  REPOSTS  |  TITLE
TITLE = opening line of the post copy, truncated (LinkedIn posts have no formal title field).
TYPE   = Image, Multi-image, Carousel (PDF/document swipe), Video, Poll, Event, Link/Article, Text, Repost
==============================================================================================================

SUMMARY - ENGAGEMENT ACROSS CAPTURED POSTS
--------------------------------------------------------------------------------------------------------------
COMPANY                                     POSTS  REACTIONS  COMMENTS  REPOSTS  AVG/POST
Stripe                                         50      19127      1445     1318     437.8
Incedo Inc                                     50       4679       128      103      98.2
Continia Software A/S                          50       3562        91      124      75.5
Yavrio                                         50       3073       315       65      69.1
SignUp Software                                50       2301        60      312      53.5
Stampli                                        50       1388        46      382      36.3
Truvio                                         50       1350        34      162      30.9
Medius                                         50       1370        31      136      30.7
Rillion                                        50       1300       138       95      30.7
Tipalti                                        50       1301        52       50      28.1
Qvalia                                         15        313        15       38      24.4
Dooap                                          50       1015        72       89      23.5
AMC Banking                                    22        287        12       16      14.3
B2Brouter                                      50        425        37       79      10.8
Equisys (Zetadocs)                             39        168         1       85       6.5
Fidesic                                        50        253        32       21       6.1
--------------------------------------------------------------------------------------------------------------


==============================================================================================================
POST-BY-POST DETAIL
==============================================================================================================

--------------------------------------------------------------------------------------------------------------
TRUVIO
https://www.linkedin.com/company/truvio-official/
Posts captured: 50   |   Total reactions: 1350   Comments: 34   Reposts: 162   |   Avg engagement/post: 30.9
 27  1mo   Event            22     0     6  Ready for a vacation... but worried your finance operations might not be? If your...
 28  4w    Image            27     0     2  Less than one month to go until Truvio Commerce Partner Days 2026! On September...
 29  4w    Image            16     0     7  Tomorrow, new EU packaging rules begin to apply. From 12th of August, 2026, the...
 30  1mo   Image             8     0     2  I am looking forward to this non-product-oriented, business-focused discussion with...
 31  2mo   Multi-image      34     2     3  Last week, we attended Forretning Online in Aarhus, Denmark - a full-day conference...
 32  1mo   Video            27     0     8  When customers need a spare part, finding the right one should be simple - even when...
 33  2mo   Event            13     0     2  Fraud risk is hiding in everyday finance workflows - emailed invoices, manual entry,...
 34  3w    Event             3     0     0  Only 2 more days until the next episode of Truvio Talks! Vacation season has a...
 35  1mo   Video            10     0     0  This clip is just a glimpse into tomorrow's conversation. Join Chris Robbins...
 36  3mo   Event            16     0     6  The numbers don't lie - B2B eCommerce is reshaping how manufacturers, distributors,...
 37  1mo   Video            38     0     6  Work Like You're on Vacation... and you might just win the ultimate summer prize...
 38  3mo   Multi-image      71     3     1  A full day of B2B eCommerce, product data, PIM, AI, and digital sales in Aarhus,...
 39  1mo   Video            13     0     1  Holiday reading doesn't have to be fiction. If you're looking for something...
 40  3mo   Multi-image      74     4     6  DynamicsMinds 2026. Between arcade game battles in our booth, packed sessions,...
 41  3mo   Multi-image      88     3     3  A great start to Truvio Commerce Customer Day in Aarhus! Today, we’re gathered at...
 42  3mo   Multi-image      38     2     4  Sidste chance for at tilmelde dig Truvio Commerce Customer Day 2026! I morgen samles...
 43  1mo   Video            13     0     3  How dependent is your business on the people who keep your ERP running? If that...
 44  3mo   Multi-image     105     3     1  Greetings from a very sunny Portorož! We’re at DynamicsMinds kicking off day 2...
 45  1mo   Video            23     0     4  Finance teams don’t need more AI for the sake of AI. They need better ways to...
 46  1mo   Video            19     0     3  Early bird pricing for Truvio Commerce Partner Days 2026 ends tomorrow, July 15...
 47  4w    Image            14     0     3  This week, we’re hosting two APJ Partner Training sessions for D365 F&O partners....
 48  3mo   Event            15     1    10  How does a manufacturer with 40,000+ spare parts give 60 global dealers 24/7...
 49  3mo   Multi-image      62     4     3  We're live at DYNAfair in Dortmund, Germany! The Truvio team is on the floor and...
 50  3mo   Event            21     3     3  ERP success is rarely driven by a single vendor. The most successful Microsoft...

--------------------------------------------------------------------------------------------------------------
CONTINIA SOFTWARE A/S
https://www.linkedin.com/company/continia-software-a-s/
Posts captured: 50   |   Total reactions: 3562   Comments: 91   Reposts: 124   |   Avg engagement/post: 75.5
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  5d    Multi-image      83     0     0  Thank you, Days of Knowledge ANZ It's a wrap on two...
  2  1w    Image            17     0     2  Protecting the world's water shouldn't mean...
  3  1w    Multi-image      98     0     0  It's about time... we found out who's faster️...
  4  3w    Carousel         36     2     1  It's about time you stopped doing these 5...
  5  4w    Carousel         41     0     5  12 free features your Business Central setup...
  6  1mo   Carousel         34     0     4  We've got room left on the team! If the summer break...
  7  1mo   Multi-image      63     2     2  We're back from a great DynamicsCon in Ghana ...
  8  1mo   Multi-image     119     1     8  More than 1,000 active Continia solutions Our...
  9  1mo   Carousel         37     5     8  Submitting expenses just got even easier! These...
 10  2mo   Multi-image      70     1     0  It's about time... for an ice-cream break! It's...
 11  2mo   Multi-image     243     4     6  Our biggest team meetup yet ️ Last week, we brought our...
 12  2mo   Multi-image      71     1     0  The Elevate tour continues — this time in...
 13  3mo   Multi-image      69     1     0  It's about time ... we cycled to work ️ In May, the...
 14  3mo   Multi-image      70     1     2  250 Continia-løsninger er en god grund til...
 15  3mo   Multi-image      93     2     0  Thanks for a great time at DynamicsMinds! ️ It's...
 16  3mo   Carousel         42     0     0  Continia is growing — swipe to find your next...
 17  3mo   Multi-image      59     0     0  That’s a wrap on Directions ASIA A big thank you to...
 18  3mo   Carousel         39     0     0  Is your Accounts Receivable setup as...
 19  4mo   Multi-image     217    17     1  Celebrating our very own Microsoft MVP Last week...
 20  4mo   Multi-image      75     2     2  25 års samarbejde og +500 aktive...
 21  4mo   Multi-image      80     0     1  Celebrating the first release of 2026 2026 R1 is...
 22  1mo   Image            28     0     3  Your e-invoicing data is only as safe as your...
 23  5mo   Multi-image      61     0     2  Hopping into Easter... This week, a little Easter surprise made...
 24  5mo   Multi-image     208    20     0  Happy birthday to our CEO! Last week, we celebrated a...
 25  5mo   Carousel         31     0     3  Get a first look at 2026 R1! Continia’s first release of the...
 26  3mo   Video            34     0     4  Your BC setup is almost there. Why not upgrade...
 27  6mo   Multi-image      77     0     3  Vi fejrer +500 implementerede...
 28  6mo   Carousel         34     0     3  Where to meet Continia this spring and...
 29  6mo   Multi-image      53     0     1  Lap times (almost) as quick as our invoice...
 30  1mo   Image            21     0     2  Every AP automation pitch this year sounds...
 31  1mo   Image            30     0     1  Same Monday, two very different workdays It's...
 32  7mo   Multi-image     107     3     4  Tak for to lærerige dage på Hindsgavl Slot Året er kommet godt fra start for...
 33  7mo   Poll             10     2     2  How far is your business in adopting...
 34  5mo   Video            84     2     6  2026 R1: A big step forward for AR automation...
 35  8mo   Carousel         14     2     0  Getting ready for ViDA? Don't leave it until the last-minute...
 36  1mo   Image            23     0     0  The office is quiet. Why not spend the summer...
 37  8mo   Multi-image     121     4     3  It’s a wrap: Our biggest Company Day yet! Last...
 38  9mo   Carousel         32     5     5  If you could remove one repetitive task from...
 39  1mo   Image            33     1     5  Separate accounts—but it’s one relationship ...
 40  9mo   Carousel         24     0     1  Du er inviteret: Kom med til danske webinarer...
 41  9mo   Poll             12     0     1  Where does your time go? Finance teams spend countless hours...
 42  10mo  Multi-image     212     8     6  Thank you for a fantastic Directions EMEA! ...
 43  10mo  Multi-image      82     1     5  Continia Elevate comes to France! Today, we have the...
 44  10mo  Multi-image     137     0     6  Prost to the second release of 2025! Last week,...
 45  11mo  Multi-image     173     2     4  Celebrating steady growth We’re proud to share that...
 46  11mo  Multi-image      97     1     4  We're investing in future talent There’s no doubt that...
 47  11mo  Multi-image      47     0     3  We’re at the E-Invoicing Summit in Vienna! At...
 48  8mo   Video            64     0     0  Happy Holidays from all of us at Continia! As...
 49  2mo   Image            36     1     4  See Continia in action, at your own pace Curious...
 50  9mo   Video            21     0     1  On the road for work? Mileage reporting...

--------------------------------------------------------------------------------------------------------------
EQUISYS (ZETADOCS)
https://www.linkedin.com/company/equisys/
Posts captured: 39   |   Total reactions: 168   Comments: 1   Reposts: 85   |   Avg engagement/post: 6.5
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  1d    Image             1     0     3  Whether you're just starting to consider a change to your processes or actively...
  2  1w    Image             2     0     3  Join us as our panel of product experts and support specialists answer your Zetadocs...
  3  3w    Image             4     0     3  Our Implementation Services help Business Central partners deliver faster, smoother...
  4  2mo   Video             5     0     2  Missed our recent webinar? Catch up now! Discover the best AP automation solution...
  5  1mo   Image             3     0     4  Manage your documents more effectively, rather than just storing them in a...
  6  9mo   Carousel          3     0     1  This month we're celebrating 15 years of the Equisys blog! Here's some of the...
  7  6mo   Image             1     0     0  Looking forward to being part of this great event!
  8  1mo   Image             4     0     2  Cut costs without compromising control. Discover how AP automation reduces invoice...
  9  2mo   Image             4     1     2  With Zetadocs, you can drag and drop supporting documents against a journal entry in...
 10  2mo   Image             0     0     1  We're just a few hours away from our webinar, 'Discover THE BEST AP Automation...
 11  7mo   Link/Article      2     0     0  The future of accounts payable is automated. Explore expert perspectives on how AI...
 12  2mo   Image             2     0     3  There's less than 24 hours left to register for our webinar - 'Discover THE BEST AP...
 13  8mo   Link/Article      0     0     0  Still chasing approvals and fixing errors? AP automation removes bottlenecks, speeds...
 14  9mo   Link/Article      3     0     2  AI in ERP is accelerating fast, and ISVs are leading the way with practical,...
 15  9mo   Link/Article      1     0     0  Accounting teams in the manufacturing industry (and beyond) are facing challenges...
 16  11mo  Link/Article      0     0     1  Join us for our webinar! On Tuesday 30 September, we will host a webinar: "Seamless...
 17  3mo   Image             3     0     3  Looking for a smarter way to manage employee expenses and ensure compliant claims?...
 18  4mo   Image            15     0     5  We had an amazing first day at Directions North America and can't wait to see what...
 19  4mo   Image             5     0     3  We'll be in Orlando, Florida next week for Directions North America, and we'd love...
 20  4mo   Image             6     0     4  We're headed to Directions in Orlando, Florida in 2 weeks. We'll be at Booth E-32...
 21  5mo   Image             2     0     0  Deliver smarter, not harder! Customize how your documents reach the right people,...
 22  5mo   Image             4     0     1  Zetadocs Expenses offers a smooth expense workflow right out-of-the-box, with...
 23  5mo   Image             3     0     5  It's not too late to reserve your space on today's Lunch & Learn event! This event...
 24  5mo   Image             3     0     2  It's not too late - join a Lunch & Learn event this week to learn how to get even...
 25  6mo   Image             0     0     1  Our Lunch & Learn series starts next week! Are you registered yet? Each session will...
 26  6mo   Image             7     0     2  Looking for an expense management solution built for Business Central, ready to go...
 27  7mo   Image             7     0     4  Even the most well-written expense policies can prove difficult to enforce across a...
 28  7mo   Image             6     0     4  See how Zetadocs can transform the way you work. Book a demo today to explore any of...
 29  7mo   Image             3     0     2  Zetadocs Delivery helps finance teams spend less time on admin and more time on what...
 30  8mo   Image             1     0     1  Learn how to build a clear travel and entertainment expenses policy that's easy to...
 31  8mo   Image             1     0     1  Many employees feel unsure about what they can expense, even if upper management...
 32  10mo  Image            11     0     2  Thank you to all who stopped by our booth at Directions #EMEA2025! Our team have had...
 33  10mo  Image             1     0     0  Our team is really enjoying the informative sessions and great conversations...
 34  10mo  Image            23     0     5  We're delighted to be at Directions #EMEA2025 in Poznan! Be sure to come and visit...
 35  10mo  Image            14     0     7  We're excited to be heading to Directions EMEA next week! If you're attending, we'd...
 36  10mo  Image             3     0     2  It's almost time for Demo Week! From October 20-24, we're offering live,...
 37  11mo  Image             5     0     1  We're excited to take part in the Expense Reporting Comparison Showcase for Business...
 38  11mo  Image             7     0     1  Our customers love how easy it is to attach documents to the right Business Central...
 39  11mo  Image             3     0     2  Zetadocs Expenses provides a powerful solution that's simple to manage. Learn more...

--------------------------------------------------------------------------------------------------------------
MEDIUS
https://www.linkedin.com/company/medius/
Posts captured: 50   |   Total reactions: 1370   Comments: 31   Reposts: 136   |   Avg engagement/post: 30.7
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  2d    Image            37     0     8  "Within the first days of France's e-invoicing mandate, thousands of invoices have...
  2  6d    Image            20     0     1  Are you a leader in finance, tax, tech, or compliance? We've got the perfect event...
  3  4d    Carousel          7     0     0  87% of finance leaders have personally ignored a small expense, reimbursement, or...
  4  1w    Image            36     1     9  We're thrilled to announce that Medius has earned three prestigious G2 badges in the...
  5  1w    Poll              2     0     0  Finance leaders know fraud when they see it. But what happens when the line gets...
  6  1w    Carousel         14     0     3  September is a good month to sort out AP. We have a full webinar lineup covering...
  7  1w    Image             8     0     2  Not sure which AP automation features actually matter, and which are just on the...
  8  2w    Carousel         38     0    15  Medius' Financial Census 2026 is officially here. Across 2,386 senior finance...
  9  2w    Carousel         12     0     3  What better way to close out the week than with a new edition of MediusExplains?...
 10  2w    Image            12     1     0  Join the Medius team at the upcoming inPOWER User Conference, taking place September...
 11  2w    Image            12     0     4  Mark your calendars! Our Top Tips in Action live interactive webinar is coming up on...
 12  3w    Image            26     0     9  Invoices processed in one day. 99%+ touchless capture. Approval routing that learns...
 13  1mo   Multi-image      63     0     1  We had a great time this week at the Microsoft AI Business Solutions Partner...
 14  3w    Image            12     0     1  58% of AP teams are already using or piloting AI. The other 42% are watching the gap...
 15  4w    Image            67     0     5  Join us on August 26 for our Explore Medius: Compliance & E-invoicing live webinar....
 16  3w    Link/Article      6     0     0  What are the most common causes of late payments in B2B? Invoice errors, approval...
 17  3w    Link/Article      7     0     2  A failed invoice match in manufacturing isn't just an AP problem. It delays supplier...
 18  2mo   Multi-image     137     1     7  Finance and diplomacy have more in common than you'd think. Both run on trust,...
 19  4w    Link/Article      7     0     0  Duplicate payments in retail don't usually look like duplicates. Same invoice,...
 20  2mo   Carousel         10     0     1  If July gives you a little breathing room, why not use it to learn something new...
 21  2mo   Carousel         12     0     1  A new edition of MediusExplains? Don't mind if we do! Today, we're discussing how AP...
 22  2mo   Carousel          7     1     1  Rapid growth in logistics often masks a dangerous reality: operational complexity is...
 23  3mo   Multi-image      65     0     3  Speed used to be the whole AP conversation. Process faster, close faster, repeat....
 24  1mo   Video            20     0     1  We're excited to return with a new edition of our MediusAsks series. This series...
 25  3mo   Carousel         12     0     0  Got 30 minutes? We've got plenty of reasons to spend them with us in June. We have...
 26  3mo   Multi-image      69     7     0  Three days. A very nice corner of Slovenia. And more AP conversations than we can...
 27  3mo   Multi-image     108     0     5  We had an amazing day 1 at the Gartner Finance Symposium/Xpo 2026! We greeted...
 28  3mo   Multi-image      53     4     0  Day one at DynamicsMinds and the Medius team has landed in Portoroz. We're here...
 29  3mo   Multi-image      52     2     0  It was great spending time at SSOW Europe this week with customers, partners, and...
 30  3mo   Multi-image      55     1     3  Day one at Shared Services and Outsourcing Week Europe is in the books. The...
 31  3mo   Carousel         38     4     1  Q1 core value award winners announced! Every quarter, we recognize the people at...
 32  2mo   Image            25     0     5  Looking forward to this. Hope to see you join us on July 15.
 33  3mo   Carousel         13     1     4  The global shift to e-invoicing: are you ready? E-invoicing has revolutionized...
 34  4mo   Carousel         12     0     4  In construction, slow AP processes are a bottleneck. They're also a project risk....
 35  4mo   Carousel          6     0     1  It's a new month - and that means a new edition of MediusExplains! Today, we're...
 36  4mo   Carousel         15     0     5  What's the ROI of accounts payable automation? It depends on where you're starting...
 37  4mo   Carousel         16     1     2  Rapid growth in logistics often masks a dangerous reality: operational complexity is...
 38  1mo   Image            35     2     4  Join us on August 20 for our Medius Momentum: Q3 2026 Product Update, a live webinar...
 39  3mo   Image             2     1     1  Excited to work with Antaras for our webinar on June 11 where finance teams using...
 40  1mo   Image            32     0    10  Great Northern Equipment: small team, big efficiency gains. As a leading wholesale...
 41  5mo   Carousel          8     0     0  If you are looking to sharpen your approach to finance this April, these virtual...
 42  5mo   Carousel         15     0     0  Finance teams aren't burned out because they work too much. They're burned out...
 43  1mo   Link/Article      6     0     0  AP fraud doesn't announce itself. It hides in duplicate invoices and last-minute...
 44  1mo   Link/Article     13     0     3  The accounts payable process covers a lot of ground: purchase orders, invoice...
 45  5mo   Carousel         13     1     1  We are back with a new edition of MediusExplains! Today, we're delving into...
 46  5mo   Multi-image      28     0     0  Day 1 at InfoTeamdagene 2026. Always great to be here, catching up with familiar...
 47  5mo   Multi-image      40     2     3  Two inspiring days at the Future of Finance CFO Exchange in London are coming to a...
 48  3mo   Image            10     0     1  If fraud prevention and supplier headaches are on your radar, this one's worth your...
 49  6mo   Multi-image      40     1     3  We had a great time at VISUAL Focus hosted by WM Synergy this week in Las Vegas. It...
 50  6mo   Carousel         17     0     3  AI agents. Supplier intelligence. Autonomous finance. In our March webinars, we are...

--------------------------------------------------------------------------------------------------------------
QVALIA
https://www.linkedin.com/company/qvalia/
Posts captured: 15   |   Total reactions: 313   Comments: 15   Reposts: 38   |   Avg engagement/post: 24.4
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  5d    Image             8     0     1  Peppol for developers: 10 common invoice errors and how to fix them. From recipient...
  2  10mo  Multi-image      29     3     3  Thank you to everyone who joined today's webinar with Julius Nilsson from Docupath...
  3  2mo   Image             5     0     1  E-invoicing mandates are becoming infrastructure decisions. As Slovakia prepares for...
  4  3mo   Image            28     0     2  Slovakia's eFaktura framework is another important step in Europe's transition...
  5  3mo   Image            32     1     6  Qvalia is now certified for Slovakia e-invoicing under the eFaktura framework. We...
  6  11mo  Link/Article      4     1     0  Connect is more than digital invoicing. It's your gateway to automation, compliance,...
  7  3mo   Image             6     0     1  Qvalia's Business Continuity Management System has now been certified against ISO...
  8  4mo   Image             8     1     0  Qvalia is now listed in the Cloud Security Alliance STAR Registry. It's an...
  9  4mo   Image            42     5     5  Qvalia is now available on iPhone and Android. Approve invoices in seconds. From...
 10  8mo   Image            13     1     2  In 2025, we expanded Qvalia's platform across nearly all fronts. Fredrik Forsell...
 11  9mo   Image             9     0     1  [Peppol for developers] How to get started with Peppol API. Learn how to: Set...
 12  9mo   Image             9     0     1  Belgium mandates #Peppol e-invoicing for most B2B transactions on January 1,...
 13  9mo   Image            14     0     0  The 2026 Peppol country guide - full list, status, and coverage map. Learn where...
 14  11mo  Image            25     0     7  [Upcoming webinar] AI-ready finance with Intelligent Document Processing. AI is...
 15  11mo  Image            81     3     8  Great day at Qvalia together with our friends from Amazon Web Services (AWS). We...

--------------------------------------------------------------------------------------------------------------
AMC BANKING
https://www.linkedin.com/company/amc-banking/
Posts captured: 22   |   Total reactions: 287   Comments: 12   Reposts: 16   |   Avg engagement/post: 14.3
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  2d    Text              4     0     0  Working with multiple banks shouldn't mean working with multiple banking processes....
  2  2w    Image            18     1     1  What do you learn from 30+ years of working with bank integration? Probably this: No...
  3  3w    Link/Article     12     1     0  How many systems does your finance team touch just to make a payment? The ERP. A...
  4  3mo   Multi-image      29     1     0  Thanks to everybody who showed up for the reception in our new building! We are...
  5  4mo   Text              9     0     0  AMC Banking operates under Service Provider Agreements with selected banks,...
  6  4mo   Event            12     0     1  We're moving and we'd love to celebrate with you. Join us for a reception where you...
  7  7mo   Carousel          4     0     0  (no text)
  8  9mo   Video             6     0     0  Discover our new app designed to simplify and automate cash management directly...
  9  2mo   Link/Article      6     0     2  Your biggest compliance risk might be a process nobody questions anymore. Not every...
 10  10mo  Video            10     0     0  In this webinar, we'll take you through how AMC Banking's intelligent cash sweeping...
 11  7mo   Video            11     0     3  Bank integration: Myth vs reality. Many finance teams treat bank connectivity like a...
 12  7mo   Video            10     0     1  The AMC Banking webinar series offers: demos, new features, use cases and Q&A,...
 13  4mo   Link/Article     12     0     3  AMC is expanding and we are currently looking for a java developer. If you could see...
 14  4mo   Link/Article      6     0     0  Still uploading payment files manually? At some point, it stops scaling. More banks....
 15  2mo   Image            13     2     2  Before summer kicks off, we wanted to share a small milestone from AMC Banking. We...
 16  3mo   Event             0     0     0  You can still register for our reception next week if you would like to swing by and...
 17  8mo   Link/Article     30     3     2  We bought The White House... at Frederiksberg. We are looking forward to moving into...
 18  9mo   Link/Article      4     0     0  You can still sign up for our webinar tomorrow where we take a deep dive into the...
 19  10mo  Link/Article      5     0     0  In case you have not yet signed up for our treasury extension webinar about cash...
 20  5mo   Image            56     4     1  The torch has officially been passed. We're excited to move into Kobenhavns...
 21  6mo   Image             7     0     0  Enterprise treasury demands structure, visibility, and control. For large...
 22  7mo   Image            23     0     0  ERP bank integration is rarely 'plug-and-play'. That's why AMC Banking's Consultancy...

--------------------------------------------------------------------------------------------------------------
B2BROUTER
https://www.linkedin.com/company/b2brouter/
Posts captured: 50   |   Total reactions: 425   Comments: 37   Reposts: 79   |   Avg engagement/post: 10.8
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  3h    Text              0     0     0  Si crees que la factura electrónica obligatoria es solo subir un archivo a un...
  2  3h    Repost            0     0     0  France is only the beginning. For ERP teams, the real challenge isn't adapting to...
  3  1d    Text              1     0     0  Vos clients ne veulent pas changer de logiciel. Ils veulent être conformes sans...
  4  6d    Image            27     5     2  Hito alcanzado: Más de 18 000 empresas francesas confían en @B2Brouter en la red...
  5  6d    Text              0     0     0  Was werden Ihre Kunden 2027 von Ihrer Software erwarten? Seit 2025 müssen...
  6  1w    Image             3     0     1  Próximos webinars | Septiembre 2026. Este junio te esperamos en dos sesiones en...
  7  1w    Image             2     0     2  Upcoming webinars | September 2026. Want to integrate e-invoicing into your...
  8  2w    Image             9     1     2  Diqto s'appuie sur B2Brouter pour la facturation électronique via eDocSync....
  9  1w    Carousel          8     0     1  Nous y sommes. Le 1er septembre 2026 n'est plus une échéance : c'est aujourd'hui....
 10  2d    Link/Article      6     2     2  Comment intégrer la facturation électronique à son logiciel sans complexifier...
 11  1w    Text              4     0     1  J-5 : une facture conforme peut malgré tout échouer si vos données clients sont...
 12  2w    Carousel          3     4     1  La facturation électronique n'est que la moitié de la réforme. Avez-vous préparé...
 13  2w    Image            11     2     4  J-7 en France : attendre de voir ce qui se passe n'est plus une stratégie. Dans...
 14  3w    Link/Article     20     1     2  Ja no hi ha excuses per adoptar la facturació electrònica, queden molt pocs dies i...
 15  3w    Image            12     7     2  J-14 avant la réforme : pour les éditeurs de logiciels, le dernier moment est...
 16  1mo   Carousel          2     0     0  Die E-Rechnung in Deutschland ist bereits Realität - trotzdem halten sich noch...
 17  1mo   Multi-image      38     0     4  B2Brouter talent stands out in London! After one week of learning and just three...
 18  1mo   Image            10     2     3  Partner Announcement: B2Brouter. We're thrilled to...
 19  1mo   Link/Article      7     1     2  Le permier Septembre est prochajn!
 20  1mo   Carousel          6     0     1  Comment bien choisir sa Plateforme Agréée avant l'entrée en vigueur de la...
 21  3w    Image             9     0     1  La réforme française de la facturation électronique ne concerne pas seulement la...
 22  1mo   Text              8     0     1  Germany's e-invoicing rollout is not just a national compliance update. It is part...
 23  1mo   Carousel         10     1     2  Belgium's B2B e-invoicing mandate is already in force. Since 1 January 2026,...
 24  1mo   Link/Article     13     2     1  Verifactu como el primer paso hacia el despliegue de ViDA, creo que es...
 25  1mo   Carousel          5     0     2  ¿Tienes que enviar todas tus facturas a la AEAT? La respuesta rápida es: no...
 26  1mo   Image             0     0     0  VeriFactu no es el único gran cambio que viene en España. La Ley Crea y Crece...
 27  1mo   Carousel         14     0     4  La réforme fiscale française ne se limite pas à "envoyer des factures...
 28  1mo   Carousel          9     0     3  Meet our Sales Team. They are the people who connect businesses with the right...
